Date,AA,AAPL,AXP,BA,BAC,CAT,CVX,DD,DIS,GE,HD,HPQ,INTC,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UTX,VZ,WMT,XOM,T
5/31/1993,0.027006923,0.107190839,0.026786595,0.049490656,-0.042439423,0.034295561,3.38E-02,0.020626663,0.079754887,0.023449234,0.094674569,0.11352227,0.165569085,0.096828622,0.028883697,0.003268089,0.053968209,0.033766308,2.21E-02,0.033783802,0.083330857,0.062272384,0.057685786,0,2.04E-02,0.083022551,0.055961258,4.21E-02,0.003475883,-0.006472573
6/30/1993,0.037037175,-0.302428573,0.121738599,-0.066246092,0.053050309,0.045376264,-4.26E-03,-0.106635098,-0.073863881,0.039310648,-0.05339567,-0.025573323,-0.007890616,-0.063981106,-0.070027897,0.073607032,0.040498648,-0.010434512,-4.32E-02,-0.065769403,-0.049931968,-0.239388576,-0.066202991,0.058524304,-1.28E-02,0.021275852,0.094469871,-5.72E-02,0.009541954,0.00977197
7/31/1993,0.017857036,-0.297468455,0.01978658,0.064189206,0.015113388,0.028731633,7.12E-03,-0.005304975,-0.078351927,0.028719826,0.008572084,-0.111111238,-0.049081171,-0.098734123,-0.120482041,0.009174303,0.005813982,0.048346156,-2.78E-02,-0.137323905,-0.159091315,0.020407453,-0.111940548,-0.056709612,7.56E-02,0.004629652,0.013665253,-3.33E-02,-0.00756139,0.055232837
8/31/1993,0.060338177,-0.040835776,-0.003832126,0.012862811,0.030779842,0.069918059,6.41E-02,0.047242953,0.04666673,-0.002537898,-0.030462726,0.029513475,0.229665406,0.033914655,0.124448129,-0.015151262,0.002890111,0.045733024,5.21E-02,0.04081635,0.015204354,-0.042219778,0.066351476,-0.007692281,6.73E-02,0.056411058,0.077731295,1.60E-02,0.007392346,0.12345679
9/30/1993,-0.106489178,-0.11792444,0.103846417,-0.031545778,0,-0.039513706,4.97E-02,-0.043701799,-0.038216879,-0.017907938,-0.099414757,-0.07420471,0.101169798,-0.081967129,-0.033742311,0.115898032,-0.022081515,-0.034883789,-6.16E-02,-0.026744793,0.098166078,-0.164346041,-0.055556195,-0.018087932,7.59E-03,-0.024176404,-0.00584814,-4.37E-02,0.001912037,-0.054945055
10/31/1993,0.013035845,0.315508392,-0.094647232,-0.022801338,-0.094660175,0.160373447,-7.67E-03,0.024193477,0.140946665,0.011734146,0.029220786,0.076781368,-0.105303503,0.095238058,0.069841395,-0.108333216,0.02662715,0.110843431,8.51E-03,0.044715464,-0.028784335,0.075000761,0.046219296,0.148825009,2.88E-02,0.117117174,-0.001960476,7.11E-02,-0.001908388,0.038014563
11/30/1993,0.0244084,0.028076753,-0.027131963,0.036936117,0.019788701,-0.06830594,-9.60E-02,0.011732939,-0.072674796,0.014175914,0.048071292,0.001698327,-0.027666828,0.17699359,0.041889652,-0.040498782,-0.027788419,0.019314291,5.90E-02,0.066147822,-0.001561959,-0.010335775,0.075330453,0.046082878,-5.33E-02,0.00503742,-0.056974779,8.65E-02,-0.029338651,-0.039548094
12/31/1993,0.001805566,-0.071429275,-0.015935923,0.119741099,0.039787818,0.043988188,2.88E-03,0.01047119,0.068965534,0.073355208,-0.048192317,0.074681004,0.008130208,0.04872389,0.028653413,0.052049001,0.062499951,-0.027718607,-2.29E-03,0.01198372,0.007812193,-0.033441965,0.03759341,0.004405304,2.07E-02,0.00201952,-0.01249971,-1.27E-01,0.005976042,-0.023529421
1/31/1994,0.146514571,0.119658564,0.065306328,0,0.035714231,0.171883124,7.17E-02,0.163212455,0.110100185,0.027414148,-0.012658182,0.079113812,0.053227949,0,-0.055710381,-0.015576087,-0.084033573,0.065789478,-1.38E-02,0.061818112,0.055816019,0.081082772,-0.063405188,0.049567883,-1.67E-02,0.08669408,-0.031121607,6.00E-02,0.053465331,0.018286611
2/28/1994,-0.048972617,0.118513938,-0.103448428,0.087320818,-0.02777195,0.040817064,-6.31E-02,-0.043555843,0.015873124,-0.022041923,0.067307364,0.063049361,0.053642014,-0.059943799,-0.047286028,-0.056961968,0.042813422,-0.000289523,-9.41E-03,-0.113013697,-0.030840301,0.035001666,-0.095659323,-0.033613468,-5.94E-02,0.015877296,-0.035242245,7.08E-02,-0.013838425,-0.065671704
